school,color,logo
Air Force,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,#9e1632,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
App State,#ffcc00,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,#0c234b,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,#8e0c3a,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,#a41f35,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Army,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,#002b5c,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Ball State,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,#154734,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Boise State,#0033a0,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,#8c2232,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowling Green,#2b1000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Buffalo,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
BYU,#003da5,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
California,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Central Michigan,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charlotte,#046A38,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Cincinnati,#E00122,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,#f56600,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,#007073,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Colorado,#CFB87C,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State,#1e4d2b,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Duke,#013088,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
